 # Thu Sep 11 21:47:20 2014
 # MMHT 2014 NLO PDF grid for central fit.
 # distance(t),tolerance(T) =    0.0000000000000000        0.0000000000000000     
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.48780
 # alphaS(MZ) = 0.12000
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  6.5275E+01  9.3293E-01  9.3308E-01  5.2998E-01  0.0000E+00  0.0000E+00  2.5752E-05  1.7567E-04 -7.4750E-04
  6.8281E+01  1.2995E+00  1.2996E+00  9.0013E-01  0.0000E+00  0.0000E+00  3.7346E-05  2.0620E-04 -7.6117E-04
  7.0931E+01  1.5821E+00  1.5823E+00  1.1854E+00  0.0000E+00  0.0000E+00  4.6724E-05  2.3037E-04 -7.7130E-04
  7.5253E+01  1.9805E+00  1.9807E+00  1.5873E+00  0.0000E+00  0.0000E+00  6.0280E-05  2.6465E-04 -7.8483E-04
  7.5253E+01  1.9805E+00  1.9807E+00  1.5873E+00  9.8224E-07  0.0000E+00  6.0280E-05  2.6465E-04 -7.8483E-04
  7.9056E+01  2.3358E+00  2.3360E+00  1.9453E+00  4.0164E-01  0.0000E+00  7.2575E-05  2.9499E-04 -7.9590E-04
  8.3438E+01  2.6939E+00  2.6941E+00  2.3059E+00  7.8706E-01  0.0000E+00  8.4950E-05  3.2506E-04 -8.0630E-04
  8.7978E+01  3.0190E+00  3.0192E+00  2.6332E+00  1.1348E+00  0.0000E+00  9.6023E-05  3.5165E-04 -8.1509E-04
  9.3093E+01  3.3479E+00  3.3482E+00  2.9641E+00  1.4845E+00  0.0000E+00  1.0698E-04  3.7770E-04 -8.2338E-04
  9.9439E+01  3.7185E+00  3.7187E+00  3.3367E+00  1.8764E+00  0.0000E+00  1.1897E-04  4.0595E-04 -8.3204E-04
  1.0580E+02  4.0605E+00  4.0608E+00  3.6805E+00  2.2363E+00  0.0000E+00  1.2968E-04  4.3098E-04 -8.3945E-04
  1.1277E+02  4.4112E+00  4.4115E+00  4.0328E+00  2.6037E+00  0.0000E+00  1.4029E-04  4.5557E-04 -8.4652E-04
  1.1891E+02  4.7040E+00  4.7044E+00  4.3270E+00  2.9095E+00  0.0000E+00  1.4886E-04  4.7535E-04 -8.5205E-04
  1.4322E+02  5.7674E+00  5.7678E+00  5.3944E+00  4.0133E+00  0.0000E+00  1.7799E-04  5.4181E-04 -8.6979E-04
  1.4322E+02  5.7674E+00  5.7678E+00  5.3944E+00  4.0133E+00  1.0587E-07  1.7799E-04  5.4181E-04 -8.6979E-04
  1.4902E+02  6.0187E+00  6.0191E+00  5.6465E+00  4.2728E+00  3.2009E-01  1.8445E-04  5.5638E-04 -8.7349E-04
  1.6726E+02  6.8068E+00  6.8072E+00  6.4369E+00  5.0842E+00  1.1925E+00  2.0392E-04  6.0000E-04 -8.8422E-04
  1.8952E+02  7.7123E+00  7.7127E+00  7.3449E+00  6.0131E+00  2.1861E+00  2.2492E-04  6.4663E-04 -8.9523E-04
  2.1285E+02  8.6174E+00  8.6178E+00  8.2521E+00  6.9385E+00  3.1681E+00  2.4462E-04  6.9005E-04 -9.0508E-04
